fir_text,positive_id,positive_text,negative_id,negative_text
"A man intentionally stabbed his neighbour during an argument, causing his death.",101,Murder — Intentionally causing the death of another person with deliberate intent or knowledge that the act is likely to cause death.,105,Culpable homicide not amounting to murder — Causing death without deliberate intention but with knowledge that the act may result in death.
A woman reported being raped by her employer at her residence.,63,"Rape — Engaging in sexual intercourse without consent, through coercion, threat, or deceit, violating a woman’s bodily autonomy.",64,Sexual assault — Physical contact without consent with intent to outrage a woman’s modesty but not amounting to rape.
A gang of five broke into a jewellery shop and looted valuables at gunpoint.,311,"Dacoity — Committing robbery jointly by five or more persons, using violence or threat to steal property.",309,Robbery — Theft or extortion involving immediate use or threat of violence to obtain property.
A student was found using a fake degree certificate to secure a government job.,336,"Forgery — Creating or altering a document dishonestly with intent to cause damage, support a claim, or commit fraud.",338,Using forged document — Knowingly using a forged document as genuine to deceive or gain unlawful advantage.
A person was caught stealing a motorcycle parked outside a mall.,303,Theft — Dishonestly taking movable property from another’s possession without consent with intent to permanently deprive the owner.,305,"Theft in dwelling house — Committing theft in any building, tent, or vessel used for human habitation or custody of property."
A person fraudulently induced investors to deposit money in a non-existent company.,318,Cheating — Deceiving any person fraudulently or dishonestly to deliver property or perform an act to their disadvantage.,319,Cheating by personation — Impersonating another person to deceive and obtain property or advantage.
A woman filed a complaint that her husband’s family harassed her for dowry and abused her physically.,86,"Cruelty by husband or relatives — Subjecting a woman to physical or mental cruelty, often for dowry or coercive control.",111,Assault — Intentional infliction of force or threat causing fear or minor injury to another person.
A shop owner intentionally set fire to a rival’s warehouse causing major losses.,324,Mischief by fire — Intentionally causing destruction of property by fire or explosive substance.,323,Mischief — Causing damage to another’s property with intent to injure or annoy.
A businessman bribed a tax officer to avoid inspection.,174,Public servant taking gratification — Accepting illegal monetary or other gratification to show official favour or neglect duty.,176,Abetment by public servant — Aiding or conspiring in commission of an offence while performing official duties.
A man hacked into a company’s server and stole confidential client data.,111,"Cybercrime — Unauthorized access, theft, or misuse of digital data or systems causing wrongful loss or gain.",318,Cheating — Deceiving another person dishonestly to induce them to part with property or perform an act.
A woman was kidnapped by her ex-boyfriend and confined in a remote house.,137,Kidnapping or abduction — Forcibly or deceitfully taking or detaining a person without consent or lawful authority.,139,Kidnapping for ransom — Kidnapping committed to demand payment or other consideration for release.
A person intentionally provided false information during a police investigation.,230,Giving false information — Knowingly providing false statements to mislead a public servant or obstruct justice.,229,False evidence — Fabricating or providing false evidence intending to mislead a judicial proceeding.
A man was found possessing illegal arms and ammunition without a licence.,154,Possession of illegal arms — Unlawful possession or carrying of weapons without authorization under prescribed law.,153,Unlawful assembly — Being part of a group with intent to commit an offence or disturb public peace.
A police constable demanded money to register an FIR for a genuine complaint.,174,Public servant taking gratification — Accepting bribe or illegal reward for performing or delaying an official act.,175,Public servant obtaining valuable thing without consideration — Receiving benefits from person concerned in official matters.
A factory worker was electrocuted due to unsafe wiring and employer negligence.,105,Culpable homicide not amounting to murder — Causing death without intent but through negligent or reckless act.,107,Causing death by negligence — Causing death by careless or reckless act without intent to kill.
A person sent obscene images to a woman online to harass her.,67,"Sexual harassment — Making unwanted physical, verbal, or digital advances or obscene gestures toward a woman without consent.",64,Assault or use of criminal force to outrage modesty — Physical contact or force used to insult a woman’s dignity.
A mob vandalized government buses during a political protest.,326,Mischief causing damage to public property — Damaging or destroying property belonging to the government or public utility.,323,Mischief — Damaging property of another person with intent to injure or annoy.
A relative abetted a young woman to commit suicide by constant humiliation.,115,Abetment of suicide — Instigating or aiding another person to end their own life through harassment or provocation.,86,Cruelty by husband or relatives — Causing mental or physical cruelty but without direct abetment of suicide.
A man counterfeited currency notes and circulated them in markets.,175,Counterfeiting currency — Making or using fake currency with intent to deceive or cause economic loss.,176,Possession of counterfeit currency — Possessing forged currency knowing it to be fake.
A government employee leaked confidential tender information to a contractor for a bribe.,174,Public servant taking gratification — Receiving illegal reward for showing favour in official capacity.,177,Criminal misconduct by public servant — Using position to obtain pecuniary advantage dishonestly.
A teenager stole a mobile phone from a passerby on the street.,303,Theft — Dishonestly taking movable property from another’s possession without consent.,309,Robbery — Theft accompanied by or involving use of force or threat.
A man trespassed into a house at night to commit theft.,308,House-breaking by night — Unlawful entry into house at night with intent to commit offence or theft.,303,Theft — Dishonestly taking property from another person’s possession without consent.
A hacker defrauded online shoppers by creating fake payment links.,318,Cheating — Fraudulently deceiving a person to deliver property or money through digital means.,111,Cybercrime — Unauthorized online act causing wrongful loss or gain through system manipulation.
A woman alleged that her neighbour touched her inappropriately in an elevator.,64,Assault to outrage modesty — Physical contact or gesture intended to insult a woman’s dignity or modesty.,67,"Sexual harassment — Repeated or unwelcome sexual conduct through words, gestures, or online communication."
A person deliberately spread false news causing public panic about a bomb threat.,223,Public mischief — Spreading rumours or false information to cause fear or disturbance of public peace.,230,Giving false information — Making false statement to a public authority with intent to mislead investigation.
A person destroyed court evidence to protect an accused friend.,230,Causing disappearance of evidence — Intentionally destroying or concealing evidence to prevent its use in a legal proceeding.,229,False evidence — Creating or presenting fabricated evidence before a court.
